0,1,2,3,4,5,6
VNM,IT,Female,55+,Entry,Myself Only,0
VNM,IT,Female,55+,Training,"10,001+ employees",0
VNM,IT,Female,55+,Training,"5001-10,000 employees",0
VNM,IT,Female,55+,Training,1001-5000 employees,0
VNM,IT,Female,55+,Training,501-1000 employees,0
VNM,IT,Female,55+,Training,201-500 employees,0
VNM,IT,Female,55+,Training,51-200 employees,0
VNM,IT,Female,55+,Training,11-50 employees,0
VNM,IT,Female,55+,Training,2-10 employees,0
VNM,IT,Female,55+,Training,Myself Only,0
VNM,IT,Female,55+,Unpaid,"10,001+ employees",0
VNM,IT,Female,55+,Unpaid,"5001-10,000 employees",0
VNM,IT,Female,55+,Unpaid,1001-5000 employees,0
VNM,IT,Female,55+,Unpaid,501-1000 employees,0
VNM,IT,Female,55+,Unpaid,201-500 employees,0
VNM,IT,Female,55+,Unpaid,51-200 employees,0
VNM,IT,Female,55+,Unpaid,11-50 employees,0
VNM,IT,Female,55+,Unpaid,2-10 employees,0
VNM,IT,Female,55+,Unpaid,Myself Only,0
VNM,IT,Female,35 to 54,Owner,"10,001+ employees",0
VNM,IT,Female,35 to 54,Owner,"5001-10,000 employees",0
VNM,IT,Female,35 to 54,Owner,1001-5000 employees,0
VNM,IT,Female,35 to 54,Owner,501-1000 employees,0
VNM,IT,Female,35 to 54,Owner,201-500 employees,0
VNM,IT,Female,35 to 54,Owner,51-200 employees,0
VNM,IT,Female,35 to 54,Owner,11-50 employees,0
VNM,IT,Female,35 to 54,Owner,2-10 employees,0
VNM,IT,Female,35 to 54,Owner,Myself Only,0
VNM,IT,Female,35 to 54,Partner,"10,001+ employees",0
VNM,IT,Female,35 to 54,Partner,"5001-10,000 employees",0
VNM,IT,Female,35 to 54,Partner,1001-5000 employees,0
VNM,IT,Female,35 to 54,Partner,501-1000 employees,0
VNM,IT,Female,35 to 54,Partner,201-500 employees,0
VNM,IT,Female,35 to 54,Partner,51-200 employees,0
VNM,IT,Female,35 to 54,Partner,11-50 employees,0
VNM,IT,Female,35 to 54,Partner,2-10 employees,0
VNM,IT,Female,35 to 54,Partner,Myself Only,0
VNM,IT,Female,35 to 54,CXO,"10,001+ employees",0
VNM,IT,Female,35 to 54,CXO,"5001-10,000 employees",0
VNM,IT,Female,35 to 54,CXO,1001-5000 employees,0
VNM,IT,Female,35 to 54,CXO,501-1000 employees,0
VNM,IT,Female,35 to 54,CXO,201-500 employees,0
VNM,IT,Female,35 to 54,CXO,51-200 employees,0
VNM,IT,Female,35 to 54,CXO,11-50 employees,0
VNM,IT,Female,35 to 54,CXO,2-10 employees,0
VNM,IT,Female,35 to 54,CXO,Myself Only,0
VNM,IT,Female,35 to 54,VP,"10,001+ employees",0
VNM,IT,Female,35 to 54,VP,"5001-10,000 employees",0
VNM,IT,Female,35 to 54,VP,1001-5000 employees,0
VNM,IT,Female,35 to 54,VP,501-1000 employees,0
VNM,IT,Female,35 to 54,VP,201-500 employees,0
VNM,IT,Female,35 to 54,VP,51-200 employees,0
